catalog_name	family	copy	LG
22166	01	x1	0
22166	09	x1	0
22186	01	x1	0
22186	09	x1	0
22194	08	x1	2
22199	08	x1	12
22199	08	x2	2
22199	09	x1	0
221	01	x1	0
221	09	x1	0
22280	09	x1	0
2240	09	x1	0
22472	08	x1	27
22472	09	x1	0
22574	01	x1	0
22574	09	x1	0
22585	01	x1	0
22585	09	x1	0
22674	01	x1	0
22674	08	x1	2
22775	09	x1	0
22913	09	x1	0
23037	01	x1	0
23037	09	x1	0
23040	09	x1	0
23053	08	x1	32
23067	01	x1	0
23067	08	x1	10
23067	09	x1	0
23130	09	x1	0
23175	09	x1	0
23352	01	x1	0
23352	09	x1	0
2341	01	x1	0
23570	09	x1	0
23722	01	x1	0
2403	09	x1	0
24080	08	x1	10
24214	01	x1	0
24214	09	x1	0
24303	09	x1	0
24366	09	x1	0
24371	09	x1	0
2440	09	x1	0
24628	01	x1	0
24628	09	x1	0
24716	01	x1	0
24727	09	x1	0
24768	01	x1	0
24768	01	x2	0
24768	09	x1	0
24768	09	x2	0
25036	09	x1	0
25071	09	x1	0
25201	09	x1	0
25353	01	x1	0
25353	09	x1	0
25685	09	x1	0
2574	09	x1	0
25752	08	x1	12
25816	01	x1	0
25816	09	x1	0
25931	09	x1	0
25971	09	x1	0
2604	08	x1	6
2604	09	x1	0
26090	08	x1	28
26090	09	x1	0
26097	08	x1	28
26176	09	x1	0
2619	01	x1	0
2619	01	x2	0
2619	08	x1	27
2619	08	x2	27
2619	09	x1	0
2619	09	x2	0
26236	08	x1	25
26236	09	x1	0
26337	09	x1	0
2635	08	x1	2
26395	09	x1	0
26467	01	x1	0
26467	09	x1	0
26538	09	x1	0
2656	09	x1	0
26644	09	x1	0
26801	08	x1	28
26801	09	x1	0
26	01	x1	0
26	08	x1	20
26	09	x1	0
27017	09	x1	0
27186	01	x1	0
27186	09	x1	0
27346	09	x1	0
27378	01	x1	0
27378	09	x1	0
2742	01	x1	0
2742	09	x1	0
27481	01	x1	0
27481	08	x1	32
2758	08	x1	18
2758	09	x1	0
2761	08	x1	28
27662	01	x1	0
27772	09	x1	0
27847	01	x1	0
2792	08	x1	9
2795	01	x1	0
2795	09	x1	0
28007	01	x1	0
28007	08	x1	11
28078	09	x1	0
2813	09	x1	0
28159	09	x1	0
281	01	x1	0
281	08	x1	6
281	09	x1	0
28253	01	x1	0
28253	09	x1	0
28272	08	x1	35
2827	08	x1	0
2827	09	x1	0
28283	09	x1	0
28293	09	x1	0
282	08	x1	27
282	08	x2	11
2851	09	x1	0
28579	09	x1	0
28592	09	x1	0
28633	01	x1	0
28633	08	x1	27
28633	09	x1	0
28642	01	x1	0
28677	01	x1	0
28677	09	x1	0
288	01	x1	0
288	09	x1	0
29133	01	x1	0
29133	09	x1	0
29276	08	x1	16
29291	01	x1	0
29291	09	x1	0
2953	01	x1	0
29565	08	x1	12
29565	09	x1	0
29589	01	x1	0
29616	01	x1	0
29637	08	x1	0
29835	01	x1	0
29835	09	x1	0
29942	01	x1	0
29942	09	x1	0
30055	01	x1	0
30055	09	x1	0
3009	09	x1	0
30251	08	x1	7
30251	09	x1	0
30350	09	x1	0
3039	01	x1	0
3039	09	x1	0
30415	08	x1	7
30508	09	x1	0
30524	08	x1	7
30524	09	x1	0
3065	01	x1	0
3066	08	x1	26
3071	09	x1	0
307	08	x1	22
31342	09	x1	0
31519	09	x1	0
31648	08	x1	3
31648	08	x2	7
31648	09	x1	0
31703	01	x1	0
31703	09	x1	0
3181	01	x1	0
3181	08	x1	11
31879	08	x1	28
31893	08	x1	7
31893	09	x1	0
32004	09	x1	0
32007	01	x1	0
32007	08	x1	28
32007	09	x1	0
32364	09	x1	0
32405	09	x1	0
32617	09	x1	0
32646	08	x1	7
32787	08	x1	2
32787	09	x1	0
32794	08	x1	5
32794	09	x1	0
32876	09	x1	0
32901	08	x1	3
32901	09	x1	0
33068	09	x1	0
33155	01	x1	0
33213	01	x1	0
33213	09	x1	0
33267	09	x1	0
3330	09	x1	0
33319	09	x1	0
33332	01	x1	0
3333	08	x1	25
3333	09	x1	0
33397	01	x1	0
33397	09	x1	0
33410	09	x1	0
33501	09	x1	0
33501	09	x2	0
335	08	x1	2
3362	09	x1	0
33651	08	x1	2
33651	09	x1	0
33665	09	x1	0
33681	08	x1	11
33681	09	x1	0
33859	09	x1	0
3429	09	x1	0
34314	08	x1	22
34408	01	x1	0
34408	09	x1	0
34477	01	x1	0
3469	01	x1	0
3469	09	x1	0
34705	08	x1	27
34803	08	x1	27
34923	01	x1	0
34923	08	x1	36
34923	09	x1	0
3522	08	x1	28
3522	09	x1	0
3538	08	x1	36
3538	09	x1	0
3547	08	x1	4
35513	08	x1	9
3577	01	x1	0
3577	08	x1	22
3577	09	x1	0
35872	01	x1	0
35872	08	x1	6
35872	09	x1	0
35991	01	x1	0
35991	08	x1	28
35991	09	x1	0
36030	09	x1	0
3617	01	x1	0
36204	09	x1	0
36214	09	x1	0
36257	09	x1	0
36348	09	x1	0
36455	09	x1	0
36608	09	x1	0
367	09	x1	0
36928	09	x1	0
36976	09	x1	0
37153	01	x1	0
37153	08	x1	27
37153	09	x1	0
3720	01	x1	0
3720	01	x2	0
3720	09	x1	0
37392	09	x1	0
37422	09	x1	0
37562	08	x1	11
3778	09	x1	0
37859	08	x1	7
37859	09	x1	0
37893	01	x1	0
37893	09	x1	0
3792	01	x1	0
37948	08	x1	3
