LG	rho
1	0.997397487884
2	-0.994278941581
3	0.951635518608
4	0.99830239274
5	0.983322329945
6	0.997070821883
7	-0.900978191641
8	0.985955402891
9	-0.990228118025
10	0.997988804859
11	-0.992916714172
12	-0.965217005802
13	0.996493511444
14	0.995227152373
15	0.96992079943
16	0.992362315883
17	0.986097477197
18	-0.993348918154
19	-0.996814519647
20	-0.933090855645
21	0.934979259116
22	0.968317287526
23	0.995380673859
24	0.989084669946
25	0.938312825115
26	0.993654066897
27	-0.985805131528
28	0.996999091914
29	-0.998348982505
30	0.99713768995
31	-0.976618571496
32	0.99678285147
33	0.988462981332
34	0.999202496234
35	0.994708733182
36	0.988390217777
37	-0.99390329761
