catalog_name	family	copy	LG
17366	08	x1	9
17366	09	x1	37
17376	01	x1	0
17376	01	x2	12
17376	08	x1	12
17395	08	x1	11
17406	09	x1	7
17478	01	x1	25
17549	08	x1	5
17549	09	x1	5
1754	08	x1	2
1754	09	x1	11
1754	09	x2	0
17550	09	x1	0
17594	09	x1	27
17613	01	x1	0
17674	08	x1	11
1770	09	x1	6
17722	01	x1	36
17748	01	x1	0
1780	08	x1	11
1780	08	x2	2
17812	01	x1	0
17812	09	x1	3
17863	09	x1	0
18083	01	x1	7
18083	08	x1	7
18219	08	x1	11
1822	01	x1	11
1822	08	x1	2
18294	08	x1	11
18369	09	x1	0
18462	01	x1	22
18548	01	x1	0
1859	08	x1	28
1859	09	x1	0
18631	01	x1	4
18631	09	x1	10
18631	09	x2	4
18664	01	x1	19
1867	09	x1	10
18774	08	x1	0
18799	01	x1	0
18799	08	x2	0
18799	09	x1	0
18801	08	x1	7
18805	09	x1	21
18850	09	x1	27
18921	08	x1	9
19157	08	x1	8
1918	01	x1	32
1918	09	x1	32
19203	09	x1	0
19206	01	x1	0
19306	01	x1	1
19306	08	x1	1
19340	01	x1	0
19340	09	x1	0
19362	01	x1	37
193	01	x1	0
193	09	x1	0
19586	08	x1	7
19586	09	x1	0
19614	08	x1	21
19614	09	x1	21
19614	09	x2	21
19624	01	x1	0
19702	08	x1	6
19702	08	x2	35
19717	01	x1	2
19717	08	x1	11
19717	08	x2	2
19817	08	x1	11
19837	08	x1	7
19837	08	x2	3
19908	08	x1	37
19951	01	x1	7
19964	01	x1	12
19964	08	x1	12
199	01	x1	24
20044	01	x1	12
20044	08	x1	27
20044	08	x2	12
20044	09	x1	27
20044	09	x2	12
20053	01	x1	0
20053	09	x1	23
2017	09	x1	15
20210	08	x1	22
20313	01	x1	21
20313	09	x1	21
20372	09	x1	0
20431	09	x1	0
20536	01	x1	28
20536	08	x1	28
20536	08	x2	10
20661	01	x1	22
2091	01	x1	11
2091	08	x1	22
