# Population CMSHERW94F	CMSHERW94F_0010,CMSHERW94F_0012,CMSHERW94F_0018,CMSHERW94F_0019,CMSHERW94F_0022,CMSHERW94F_0024,CMSHERW94F_0026,CMSHERW94F_0027,CMSHERW94F_0028,CMSHERW94F_0032,CMSHERW94F_0033,CMSHERW94F_0035,CMSHERW94F_0036,CMSHERW94F_0039,CMSHERW94F_0045,CMSHERW94F_0046,CMSHERW94F_0047,CMSHERW94F_0052,CMSHERW94F_0056,CMSHERW94F_0058,CMSHERW94F_0059,CMSHERW94F_0061,CMSHERW94F_0064,CMSHERW94F_0066,CMSHERW94F_0074,CMSHERW94F_0075,CMSHERW94F_0076,CMSHERW94F_0083,CMSHERW94F_0084,CMSHERW94F_0085,CMSHERW94F_0086,CMSHERW94F_0091
# Population CMSHERW94S	CMSHERW94S_0001,CMSHERW94S_0003,CMSHERW94S_0009,CMSHERW94S_0015,CMSHERW94S_0016,CMSHERW94S_0017,CMSHERW94S_0018,CMSHERW94S_0019,CMSHERW94S_0020,CMSHERW94S_0022,CMSHERW94S_0027,CMSHERW94S_0032,CMSHERW94S_0033,CMSHERW94S_0034,CMSHERW94S_0047,CMSHERW94S_0050,CMSHERW94S_0053,CMSHERW94S_0056,CMSHERW94S_0057,CMSHERW94S_0059,CMSHERW94S_0062,CMSHERW94S_0066,CMSHERW94S_0068,CMSHERW94S_0071,CMSHERW94S_0075,CMSHERW94S_0081,CMSHERW94S_0083,CMSHERW94S_0085,CMSHERW94S_0087,CMSHERW94S_0090,CMSHERW94S_0093,CMSHERW94S_0095
# Batch ID 	Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
2	119	CMSHERW94F	CMSHERW94S	c10124	0	-0.0161	0.0000	0.0000	-0.0164	0.0000	0.0000	-0.0164	0.0000	0.0000
2	120	CMSHERW94F	CMSHERW94S	c10125	0	0.0011	0.0000	0.0000	0.0242	0.0000	0.0000	0.0243	0.0000	0.0000
2	123	CMSHERW94F	CMSHERW94S	c10128	0	-0.0074	0.0000	0.0000	-0.0104	0.0000	0.0000	-0.0105	0.0000	0.0000
2	126	CMSHERW94F	CMSHERW94S	c10131	0	-0.0157	0.0000	0.0000	-0.0155	0.0000	0.0000	-0.0155	0.0000	0.0000
2	131	CMSHERW94F	CMSHERW94S	c10137	0	0.0047	0.0000	0.0000	0.0047	0.0000	0.0000	0.0047	0.0000	0.0000
2	137	CMSHERW94F	CMSHERW94S	c10142	0	-0.0223	0.0000	0.0000	-0.0037	0.0000	0.0000	-0.0037	0.0000	0.0000
2	138	CMSHERW94F	CMSHERW94S	c10144	0	0.0110	0.0000	0.0000	-0.0008	0.0000	0.0000	-0.0008	0.0000	0.0000
2	139	CMSHERW94F	CMSHERW94S	c10145	0	-0.0186	0.0000	0.0000	-0.0189	0.0000	0.0000	-0.0189	0.0000	0.0000
2	144	CMSHERW94F	CMSHERW94S	c10151	0	-0.1203	0.0000	0.0000	-0.2174	0.0000	0.0000	-0.2000	0.0000	0.0000
2	148	CMSHERW94F	CMSHERW94S	c10155	0	-0.0220	0.0000	0.0000	-0.0158	0.0000	0.0000	-0.0140	0.0000	0.0000
2	67770	CMSHERW94F	CMSHERW94S	c10158	0	-0.0080	0.0000	0.0000	-0.0014	0.0000	0.0000	-0.0014	0.0000	0.0000
2	150	CMSHERW94F	CMSHERW94S	c10159	0	-0.0166	0.0000	0.0000	-0.0028	0.0000	0.0000	-0.0028	0.0000	0.0000
2	153	CMSHERW94F	CMSHERW94S	c10162	0	-0.0210	0.0000	0.0000	-0.0014	0.0000	0.0000	-0.0014	0.0000	0.0000
2	154	CMSHERW94F	CMSHERW94S	c10163	0	-0.0109	0.0000	0.0000	-0.0015	0.0000	0.0000	-0.0015	0.0000	0.0000
2	155	CMSHERW94F	CMSHERW94S	c10165	0	-0.0857	0.0000	0.0000	-0.0735	0.0000	0.0000	-0.0726	0.0000	0.0000
2	156	CMSHERW94F	CMSHERW94S	c10166	0	0.0325	0.0000	0.0000	0.0090	0.0000	0.0000	0.0090	0.0000	0.0000
2	157	CMSHERW94F	CMSHERW94S	c10167	0	-0.0169	0.0000	0.0000	-0.0133	0.0000	0.0000	-0.0133	0.0000	0.0000
2	161	CMSHERW94F	CMSHERW94S	c10172	0	0.0017	0.0000	0.0000	0.0017	0.0000	0.0000	0.0017	0.0000	0.0000
2	163	CMSHERW94F	CMSHERW94S	c10174	0	0.0053	0.0000	0.0000	0.0144	0.0000	0.0000	0.0144	0.0000	0.0000
2	168	CMSHERW94F	CMSHERW94S	c10179	0	-0.0067	0.0000	0.0000	-0.0023	0.0000	0.0000	-0.0024	0.0000	0.0000
2	175	CMSHERW94F	CMSHERW94S	c10185	0	0.0272	0.0000	0.0000	0.0071	0.0000	0.0000	0.0071	0.0000	0.0000
2	176	CMSHERW94F	CMSHERW94S	c10186	0	-0.0131	0.0000	0.0000	-0.0039	0.0000	0.0000	-0.0039	0.0000	0.0000
2	177	CMSHERW94F	CMSHERW94S	c10187	0	-0.0109	0.0000	0.0000	-0.0015	0.0000	0.0000	-0.0015	0.0000	0.0000
2	179	CMSHERW94F	CMSHERW94S	c10189	0	-0.0150	0.0000	0.0000	-0.0131	0.0000	0.0000	-0.0131	0.0000	0.0000
2	189	CMSHERW94F	CMSHERW94S	c1019	0	-0.0186	0.0000	0.0000	-0.0189	0.0000	0.0000	-0.0189	0.0000	0.0000
2	183	CMSHERW94F	CMSHERW94S	c10192	0	-0.0074	0.0000	0.0000	-0.0021	0.0000	0.0000	-0.0021	0.0000	0.0000
2	186	CMSHERW94F	CMSHERW94S	c10197	0	-0.0105	0.0000	0.0000	-0.0063	0.0000	0.0000	-0.0061	0.0000	0.0000
2	191	CMSHERW94F	CMSHERW94S	c10200	0	-0.0062	0.0000	0.0000	-0.0046	0.0000	0.0000	-0.0046	0.0000	0.0000
2	192	CMSHERW94F	CMSHERW94S	c10201	0	-0.0157	0.0000	0.0000	-0.0159	0.0000	0.0000	-0.0159	0.0000	0.0000
2	193	CMSHERW94F	CMSHERW94S	c10202	0	-0.0121	0.0000	0.0000	-0.0093	0.0000	0.0000	-0.0093	0.0000	0.0000
2	198	CMSHERW94F	CMSHERW94S	c10209	0	-0.0129	0.0000	0.0000	-0.0107	0.0000	0.0000	-0.0107	0.0000	0.0000
2	206	CMSHERW94F	CMSHERW94S	c1021	0	0.0041	0.0000	0.0000	0.0008	0.0000	0.0000	0.0007	0.0000	0.0000
2	202	CMSHERW94F	CMSHERW94S	c10215	0	-0.0035	0.0000	0.0000	-0.0007	0.0000	0.0000	-0.0007	0.0000	0.0000
2	203	CMSHERW94F	CMSHERW94S	c10217	0	-0.0149	0.0000	0.0000	-0.0150	0.0000	0.0000	-0.0150	0.0000	0.0000
2	67777	CMSHERW94F	CMSHERW94S	c10223	0	0.0228	0.0000	0.0000	0.0042	0.0000	0.0000	0.0040	0.0000	0.0000
2	210	CMSHERW94F	CMSHERW94S	c10225	0	-0.0093	0.0000	0.0000	-0.0078	0.0000	0.0000	-0.0077	0.0000	0.0000
2	216	CMSHERW94F	CMSHERW94S	c10230	0	-0.0151	0.0000	0.0000	-0.0147	0.0000	0.0000	-0.0146	0.0000	0.0000
2	218	CMSHERW94F	CMSHERW94S	c10232	0	-0.0190	0.0000	0.0000	-0.0193	0.0000	0.0000	-0.0194	0.0000	0.0000
2	222	CMSHERW94F	CMSHERW94S	c10238	0	0.0359	0.0000	0.0000	0.0335	0.0000	0.0000	0.0334	0.0000	0.0000
2	228	CMSHERW94F	CMSHERW94S	c10246	0	-0.0172	0.0000	0.0000	-0.0175	0.0000	0.0000	-0.0175	0.0000	0.0000
2	230	CMSHERW94F	CMSHERW94S	c10248	0	-0.0031	0.0000	0.0000	-0.0031	0.0000	0.0000	-0.0031	0.0000	0.0000
2	239	CMSHERW94F	CMSHERW94S	c10257	0	-0.0116	0.0000	0.0000	-0.0117	0.0000	0.0000	-0.0117	0.0000	0.0000
2	249	CMSHERW94F	CMSHERW94S	c1026	0	-0.0351	0.0000	0.0000	-0.0364	0.0000	0.0000	-0.0364	0.0000	0.0000
2	244	CMSHERW94F	CMSHERW94S	c10261	0	-0.0442	0.0000	0.0000	-0.0581	0.0000	0.0000	-0.0585	0.0000	0.0000
2	253	CMSHERW94F	CMSHERW94S	c10273	0	-0.0170	0.0000	0.0000	-0.0172	0.0000	0.0000	-0.0172	0.0000	0.0000
2	255	CMSHERW94F	CMSHERW94S	c10278	0	0.0147	0.0000	0.0000	0.0010	0.0000	0.0000	0.0010	0.0000	0.0000
2	256	CMSHERW94F	CMSHERW94S	c10279	0	-0.0043	0.0000	0.0000	0.0169	0.0000	0.0000	0.0209	0.0000	0.0000
2	264	CMSHERW94F	CMSHERW94S	c1028	0	-0.0175	0.0000	0.0000	-0.0016	0.0000	0.0000	-0.0015	0.0000	0.0000
2	257	CMSHERW94F	CMSHERW94S	c10280	0	-0.0377	0.0000	0.0000	-0.0447	0.0000	0.0000	-0.0444	0.0000	0.0000
2	261	CMSHERW94F	CMSHERW94S	c10284	0	-0.0421	0.0000	0.0000	-0.0439	0.0000	0.0000	-0.0440	0.0000	0.0000
2	262	CMSHERW94F	CMSHERW94S	c10285	0	-0.0131	0.0000	0.0000	-0.0040	0.0000	0.0000	-0.0040	0.0000	0.0000
2	271	CMSHERW94F	CMSHERW94S	c1029	0	-0.0019	0.0000	0.0000	-0.0007	0.0000	0.0000	-0.0006	0.0000	0.0000
2	265	CMSHERW94F	CMSHERW94S	c10290	0	-0.0169	0.0000	0.0000	-0.0069	0.0000	0.0000	-0.0069	0.0000	0.0000
2	266	CMSHERW94F	CMSHERW94S	c10291	0	-0.0045	0.0000	0.0000	-0.0131	0.0000	0.0000	-0.0131	0.0000	0.0000
2	269	CMSHERW94F	CMSHERW94S	c10298	0	-0.0137	0.0000	0.0000	-0.0071	0.0000	0.0000	-0.0072	0.0000	0.0000
2	363	CMSHERW94F	CMSHERW94S	c103	0	-0.0040	0.0000	0.0000	-0.0041	0.0000	0.0000	-0.0041	0.0000	0.0000
2	277	CMSHERW94F	CMSHERW94S	c10304	0	-0.0156	0.0000	0.0000	-0.0159	0.0000	0.0000	-0.0159	0.0000	0.0000
2	279	CMSHERW94F	CMSHERW94S	c10307	0	-0.0057	0.0000	0.0000	-0.0048	0.0000	0.0000	-0.0048	0.0000	0.0000
2	293	CMSHERW94F	CMSHERW94S	c1031	0	0.0226	0.0000	0.0000	0.0067	0.0000	0.0000	0.0066	0.0000	0.0000
2	283	CMSHERW94F	CMSHERW94S	c10310	0	-0.0164	0.0000	0.0000	-0.0048	0.0000	0.0000	-0.0048	0.0000	0.0000
2	285	CMSHERW94F	CMSHERW94S	c10312	0	0.0755	0.0000	0.0000	0.0703	0.0000	0.0000	0.0703	0.0000	0.0000
2	286	CMSHERW94F	CMSHERW94S	c10313	0	0.0378	0.0000	0.0000	0.0383	0.0000	0.0000	0.0384	0.0000	0.0000
2	291	CMSHERW94F	CMSHERW94S	c10318	0	-0.0213	0.0000	0.0000	-0.0217	0.0000	0.0000	-0.0217	0.0000	0.0000
2	292	CMSHERW94F	CMSHERW94S	c10319	0	-0.0164	0.0000	0.0000	-0.0166	0.0000	0.0000	-0.0166	0.0000	0.0000
2	296	CMSHERW94F	CMSHERW94S	c10323	0	-0.0085	0.0000	0.0000	-0.0046	0.0000	0.0000	-0.0044	0.0000	0.0000
2	298	CMSHERW94F	CMSHERW94S	c10325	0	-0.0101	0.0000	0.0000	-0.0099	0.0000	0.0000	-0.0099	0.0000	0.0000
2	304	CMSHERW94F	CMSHERW94S	c10330	0	-0.0208	0.0000	0.0000	-0.0213	0.0000	0.0000	-0.0213	0.0000	0.0000
2	306	CMSHERW94F	CMSHERW94S	c10334	0	-0.0166	0.0000	0.0000	-0.0006	0.0000	0.0000	-0.0006	0.0000	0.0000
2	308	CMSHERW94F	CMSHERW94S	c10337	0	-0.0018	0.0000	0.0000	-0.0004	0.0000	0.0000	-0.0004	0.0000	0.0000
2	310	CMSHERW94F	CMSHERW94S	c10340	0	-0.0205	0.0000	0.0000	-0.0150	0.0000	0.0000	-0.0154	0.0000	0.0000
2	312	CMSHERW94F	CMSHERW94S	c10342	0	-0.0005	0.0000	0.0000	-0.0005	0.0000	0.0000	-0.0005	0.0000	0.0000
2	316	CMSHERW94F	CMSHERW94S	c10346	0	-0.1982	0.0000	0.0000	-0.2308	0.0000	0.0000	-0.7500	0.0000	0.0000
