LG	locus	cm
3	22634_x1	8.375
3	73187_x1	8.375
3	56561_x1	8.48
3	70671_x1	8.644
3	56585_x1	8.83
3	10583_x1	8.984
3	59869_x1	9.091
3	71157_x1	9.091
3	48128_x1	12.89
3	11172_x1	13.158
3	69899_x1	13.434
3	5813_x1	13.756
3	1915_x1	14.101
3	12282_x1	17.753
3	73317_x1	17.753
3	46833_x1	17.753
3	46928_x1	20.027
3	38640_x1	20.027
3	1448_x1	23.469
3	17489_x1	24.167
3	2588_x1	24.353
3	1905_x1	24.486
3	68673_x1	24.632
3	2909_x1	24.842
3	5953_x1	27.583
3	51314_x1	28.25
3	21133_x1	28.25
3	12194_x1	28.25
3	45459_x1	30.011
3	5902_x1	30.129
3	77740_x1	30.129
3	63325_x1	30.129
3	56857_x1	30.129
3	66700_x1	30.129
3	74450_x1	30.129
3	9601_x1	30.304
3	62601_x1	30.79
3	41582_x1	30.79
3	57359_x1	30.907
3	55021_x1	34.77
3	9607_x1	36.289
3	40757_x1	36.562
3	1134_x1	39.381
3	528_x1	40.816
3	3854_x1	41.465
3	7030_x1	41.82
3	63234_x1	42.22
3	68098_x1	42.678
3	41467_x1	43.103
3	71070_x1	43.463
3	6344_x1	43.777
3	71348_x1	44.119
3	46684_x1	45.023
3	17349_x1	50.78
3	6928_x1	50.78
3	27173_x1	50.78
3	50838_x1	50.78
3	1490_x1	52.225
3	50889_x1	54.349
3	56964_x1	54.349
3	5284_x1	54.349
3	11388_x1	54.349
3	73597_x1	54.349
3	Oke_gdh1-62_x1	59.279
3	22926_x1	59.688
3	6209_x1	60.046
3	43138_x1	60.351
3	6353_x1	60.495
3	3293_x1	60.495
3	15765_x1	60.495
3	59030_x1	60.606
3	73013_x1	60.892
3	67651_x1	61.912
3	62_x1	62.373
3	21899_x1	63.278
3	11737_x1	63.402
3	45758_x1	63.402
3	15185_x1	63.783
3	57036_x1	64.157
3	62178_x1	64.157
3	76898_x1	64.157
3	41790_x1	64.157
3	18775_x1	64.317
3	3267_x1	64.51
3	81887_x1	64.714
3	2450_x1	64.919
3	11969_x1	65.114
3	41876_x1	65.251
3	44684_x1	65.251
3	67993_x1	65.251
3	70394_x1	65.251
3	59367_x1	65.251
3	63738_x1	65.251
3	70462_x1	65.251
3	43955_x1	65.251
3	2999_x1	65.251
3	55065_x1	65.251
3	28288_x1	65.394
3	61095_x1	65.799
4	66604_x1	0
4	66505_x1	0.478
4	65513_x1	0.716
4	2412_x1	0.716
4	42286_x1	0.716
4	29037_x1	0.716
4	26753_x1	0.716
4	13617_x1	0.893
4	64844_x1	1.069
4	49251_x1	1.069
4	61766_x1	1.069
4	61349_x1	1.182
4	71699_x1	1.326
4	63486_x1	1.439
4	44841_x1	1.618
4	55110_x1	1.955
4	61456_x1	2.31
4	4984_x1	2.533
4	77203_x1	2.84
4	62179_x1	3.224
4	77545_x1	3.871
4	65039_x1	5.033
4	42525_x1	5.401
4	55180_x1	5.79
4	55811_x1	6.124
4	57950_x1	6.424
4	71339_x1	6.698
4	56275_x1	6.964
4	69314_x1	7.231
4	29376_x1	7.498
4	20170_x1	7.784
4	8845_x1	8.183
4	42131_x1	10.479
4	50725_x1	10.612
4	41705_x1	10.737
4	61311_x1	10.737
4	63736_x1	10.737
4	64606_x1	10.737
4	78702_x1	10.737
4	40944_x1	11.408
4	68321_x1	11.513
4	71906_x1	11.63
4	47994_x1	11.776
4	6442_x1	11.776
4	55469_x1	11.776
4	65084_x1	11.776
4	2722_x1	11.776
4	655_x1	11.776
4	65329_x1	11.776
4	8241_x1	11.776
4	52578_x1	14.306
4	12577_x1	15.066
4	57961_x1	15.463
4	11952_x1	15.94
4	60071_x1	16.346
4	4208_x1	16.641
4	55230_x1	20.128
4	30058_x1	21.852
4	48874_x1	22.417
4	57054_x1	22.542
4	15914_x1	22.542
4	26771_x1	22.542
4	23735_x1	22.542
4	21867_x1	22.542
4	42807_x1	25.09
4	71965_x1	25.681
4	48833_x1	26.375
4	51236_x1	37.242
4	55459_x1	37.856
4	48797_x1	38.965
4	7955_x1	40.008
4	59294_x1	41.993
4	78528_x1	42.179
4	54214_x1	42.438
4	60036_x1	43.487
4	72740_x1	44.679
4	37041_x1	47.017
4	54501_x1	47.511
4	29871_x1	47.962
4	27412_x1	48.847
4	43447_x1	51.684
4	60011_x1	56.156
4	7222_x1	56.426
4	64348_x1	56.658
4	2380_x1	56.989
4	16058_x1	57.57
4	11034_x1	58.395
4	54975_x1	58.923
4	76761_x1	59.699
4	74416_x1	60.079
4	27565_x1	60.335
4	15474_x1	60.539
4	31387_x1	60.665
4	41114_x1	60.777
4	21939_x1	60.777
4	59316_x1	60.777
4	60347_x1	60.777
4	57908_x1	60.777
4	71984_x1	60.777
4	43315_x1	60.777
4	45009_x1	60.956
4	17866_x1	61.403
4	16046_x1	61.403
4	66592_x1	61.403
4	59495_x1	61.524
4	10822_x1	62.111
4	22396_x1	62.111
4	11667_x1	62.111
4	66554_x1	62.111
4	73289_x1	62.221
4	169_x1	64.618
4	10579_x1	64.618
4	17979_x1	64.618
4	27504_x1	64.618
4	1534_x1	64.95
4	64855_x1	65.317
4	72043_x1	65.45
4	64323_x1	65.59
4	49221_x1	65.752
4	55256_x1	66.196
4	66785_x1	66.512
4	68499_x1	66.708
4	63656_x1	67.288
4	49140_x1	67.288
4	2516_x1	67.288
4	37249_x1	67.288
4	56175_x1	67.288
4	4828_x1	67.622
4	77922_x1	68.218
4	3547_x1	68.476
4	8399_x1	68.651
4	4960_x1	68.767
4	19020_x1	68.879
4	67958_x1	69.01
4	27798_x1	74.592
4	70817_x1	75.501
4	864_x1	76.542
4	19320_x1	77.646
4	77473_x1	78.759
4	31086_x1	79.872
4	3421_x1	80.969
4	40546_x1	82.06
4	53758_x1	84.239
4	6793_x1	88.885
4	62617_x1	89.721
4	13687_x1	90.397
4	64527_x1	90.86
4	15709_x1	91.153
4	56983_x1	95.059
4	29531_x1	96.453
4	48311_x1	97.045
4	46548_x1	104.501
4	52447_x1	104.772
4	47439_x1	105.024
4	69741_x1	105.27
4	6036_x1	107.975
4	16289_x1	108.884
4	19184_x1	109.342
4	58953_x1	109.544
4	3091_x1	109.733
4	60395_x1	109.842
4	3560_x1	110.154
4	54592_x1	110.46
4	49103_x1	110.757
4	48351_x1	111.065
4	56361_x1	111.382
4	75751_x1	111.671
4	78061_x1	111.937
4	70089_x1	112.138
4	60646_x1	119.645
4	57762_x1	119.645
4	1570_x1	119.645
4	7644_x1	119.645
4	62264_x1	119.645
4	41237_x1	119.645
4	65963_x1	119.645
4	42033_x1	119.645
4	53316_x1	119.645
4	65964_x1	123.252
4	13660_x1	123.547
4	52048_x1	123.818
4	49753_x1	124.052
4	72833_x1	124.296
4	2386_x1	124.58
4	44632_x1	127.332
4	54982_x1	131.714
4	13955_x1	132.053
4	8026_x1	132.348
4	50345_x1	132.796
4	1063_x1	133.627
4	77610_x1	134.287
4	64085_x1	134.287
4	4530_x1	134.287
4	60824_x1	134.287
4	5742_x1	134.287
4	78434_x1	136.039
4	53613_x1	138.369
4	11361_x1	138.369
4	84181_x1	138.369
4	1288_x1	138.369
4	74836_x1	138.369
4	53211_x1	138.634
4	52161_x1	139.612
4	70014_x1	139.971
4	29384_x1	140.221
4	71744_x1	140.221
4	699_x1	140.221
4	53172_x1	140.221
4	1631_x1	140.221
4	51556_x1	140.325
4	72503_x1	140.325
4	44532_x1	140.325
4	45415_x1	140.325
4	69717_x1	140.46
4	87265_x1	140.751
4	42862_x1	140.958
4	2989_x1	141.071
4	723_x1	141.484
4	43230_x1	141.817
4	66481_x1	141.817
4	41940_x1	142.556
4	68880_x1	143.745
4	33911_x1	144.18
4	70503_x1	144.51
4	54915_x1	144.679
4	56387_x1	144.838
4	7289_x1	144.998
4	55962_x1	144.998
4	11838_x1	144.998
4	48632_x1	144.998
4	12047_x1	145.148
4	48164_x1	145.381
4	54731_x1	145.514
4	39166_x1	145.617
4	4098_x1	145.617
4	13084_x1	145.617
4	55183_x1	145.617
4	18046_x1	145.617
4	3880_x1	145.969
4	55220_x1	146.349
4	2699_x1	146.622
4	48923_x1	146.834
4	13007_x1	147.027
4	23103_x1	147.253
4	45062_x1	147.672
4	64420_x1	148.513
5	31748_x1	0
5	54872_x1	0.566
5	54794_x1	1.004
5	53318_x1	1.356
5	31851_x1	1.615
5	7321_x1	4.611
5	59924_x1	4.815
5	55446_x1	5.192
5	77749_x1	5.74
5	70389_x1	6.957
5	75994_x1	7.53
5	Oke_NUPR1-70_x1	8.093
5	55427_x1	9.528
5	9379_x1	15.206
5	11281_x1	15.206
5	20516_x1	15.206
5	8233_x1	15.206
5	76109_x1	15.402
5	53138_x1	15.679
5	53637_x1	16.026
5	39402_x1	16.345
5	51978_x1	16.596
5	40173_x1	17.474
5	64267_x1	18.048
5	57603_x1	18.684
5	27794_x1	19.068
5	24763_x1	21.323
5	54692_x1	24.549
5	5569_x1	24.549
5	69437_x1	24.549
5	29540_x1	24.549
5	15290_x1	26.846
5	76512_x1	26.999
5	71357_x1	27.494
5	Oke_U2040-77_x1	29.864
5	54252_x1	30.13
5	44880_x1	34.167
5	6587_x1	34.357
5	83851_x1	34.517
5	46181_x1	34.756
5	7986_x1	41.154
5	77946_x1	41.341
5	62701_x1	42.389
5	63284_x1	43.839
5	34314_x1	44.621
5	42497_x1	45.196
5	10163_x1	45.589
5	11978_x1	45.952
5	11561_x1	46.391
5	17141_x1	46.719
5	58062_x1	46.984
5	52807_x1	47.217
5	64746_x1	51.309
5	76983_x1	53.609
5	56064_x1	53.929
5	41246_x1	54.192
5	70118_x1	54.192
5	41751_x1	54.192
5	12413_x1	54.358
5	55291_x1	54.537
5	11377_x1	54.537
5	66960_x1	54.537
5	63038_x1	54.681
5	57847_x1	54.801
5	56194_x1	54.801
5	53207_x1	54.801
5	15172_x2	54.801
5	5562_x1	54.801
5	42705_x1	54.801
5	78187_x1	54.801
5	15008_x1	54.801
5	8779_x1	55.96
5	2106_x1	57.693
5	55267_x1	58.205
5	16105_x1	58.728
5	40107_x1	59.303
5	52813_x1	59.931
5	72245_x1	60.462
5	59491_x1	61.01
5	42895_x1	61.443
5	72827_x1	62.048
5	50897_x1	62.947
5	48823_x1	64.866
5	10107_x1	66.388
5	48182_x1	66.841
5	307_x1	67.083
5	48900_x1	67.083
5	7072_x1	67.584
5	20448_x1	68.174
5	58135_x1	68.794
5	50107_x1	69.343
5	29578_x1	69.493
5	6536_x1	69.493
5	44396_x1	69.493
5	8076_x1	69.688
5	45017_x1	70.739
5	63940_x1	71.331
5	1060_x1	71.996
5	66990_x1	72.979
5	57923_x1	74.471
5	13169_x1	75.37
5	57480_x1	75.83
5	49600_x1	76.39
5	20210_x1	77.545
5	11769_x2	78.156
5	60424_x1	78.792
5	11190_x1	78.792
5	64089_x1	78.792
5	63691_x1	79.391
5	3577_x1	79.508
5	59789_x1	80.652
5	62003_x1	81.211
5	57665_x1	81.851
5	9577_x1	82.444
5	54836_x2	82.444
5	49934_x1	82.444
5	62719_x1	82.546
5	63236_x1	83.801
5	15355_x1	84.383
5	60701_x1	85.197
5	53381_x1	85.675
5	52519_x1	86.259
5	54474_x1	86.76
5	10003_x1	86.76
5	74763_x1	86.76
5	42312_x1	86.76
5	5767_x1	86.76
5	41210_x1	86.76
5	8721_x1	86.76
5	172_x1	86.76
5	1425_x1	86.76
5	57095_x1	86.76
5	12455_x1	86.76
5	49628_x1	86.76
5	72044_x1	87.345
5	53231_x1	87.939
5	10998_x1	87.939
5	53380_x1	87.939
5	4310_x1	87.939
5	62439_x1	88.815
5	2244_x1	89.914
5	13046_x1	90.486
5	72758_x2	91.024
5	10235_x1	91.024
5	2091_x1	91.824
5	29907_x1	92.628
5	47084_x1	93.205
5	64823_x1	93.777
5	50211_x1	94.32
5	24377_x1	95.574
5	27266_x1	96.717
5	40968_x1	96.717
5	60349_x1	99.01
6	76057_x1	0
6	61202_x1	0
6	44938_x1	0
6	5250_x1	0
6	12139_x1	0
6	52071_x1	0
6	32049_x1	0
6	7781_x1	0
6	45072_x1	0
6	75498_x1	0
6	58301_x1	0
6	54617_x1	0
6	1294_x1	0
6	46397_x1	0
6	61802_x1	0
6	48175_x1	0
6	3240_x1	0
6	140_x1	0.129
6	35067_x1	0.29
6	12783_x1	0.522
6	2270_x1	0.834
6	59213_x1	1.093
6	50347_x1	1.093
6	66323_x1	1.093
6	29276_x1	1.093
6	10144_x1	2.265
6	2185_x1	3.625
6	32885_x1	3.842
6	6506_x1	3.842
6	58274_x1	4.291
6	63326_x1	4.439
6	3271_x1	4.439
6	41889_x1	4.439
6	11530_x1	4.439
6	2810_x1	4.584
6	50699_x1	4.723
6	58064_x1	4.823
6	14654_x1	4.823
6	8285_x1	4.823
6	55114_x1	4.823
6	38513_x1	4.823
6	65367_x1	5.083
6	14270_x1	5.45
6	66718_x1	5.45
6	76121_x1	5.45
6	6336_x1	5.45
6	15145_x1	10.411
6	33052_x1	10.957
6	65369_x1	11.196
6	5636_x1	11.559
6	29556_x1	14.9
6	33752_x1	15.459
6	59963_x1	16.389
6	57010_x1	18.891
6	15093_x1	20.06
6	62122_x1	20.06
6	17383_x1	20.06
6	61330_x1	20.06
6	75655_x1	20.06
6	14266_x1	20.186
6	11488_x1	20.361
6	69667_x1	20.468
6	68032_x1	22.189
6	97050_x1	22.555
6	62746_x1	22.765
6	5239_x1	22.765
6	53794_x1	22.765
6	69231_x1	22.904
6	10291_x1	23.098
6	51720_x1	23.786
6	14611_x1	31.627
6	18500_x1	31.958
6	63908_x1	32.248
6	48136_x1	32.52
6	55233_x1	35.543
6	70523_x1	35.818
6	54686_x1	36.075
6	46867_x1	36.367
6	48337_x1	36.744
6	56128_x1	37.2
6	44829_x1	39.095
6	32607_x1	39.459
6	19068_x1	39.817
6	15435_x1	39.937
6	5091_x1	58.456
6	5587_x1	59.412
6	1186_x1	59.622
6	26701_x1	59.622
6	58909_x1	59.622
6	72055_x1	59.777
6	53999_x1	60.029
6	377_x1	60.307
6	68919_x1	60.606
6	74410_x1	60.895
6	65375_x1	61.139
6	44619_x1	62.313
6	274_x1	62.437
6	28322_x1	62.437
6	49459_x1	62.437
6	1290_x1	62.437
6	58186_x1	62.437
6	19655_x1	62.992
6	65608_x1	62.992
6	13751_x1	64.776
6	70627_x1	65.509
6	9278_x1	66.061
6	132_x1	71.323
6	10950_x1	71.889
6	10840_x1	72.417
6	56015_x1	72.913
